movie_id,genre_id
564,3
565,6
566,7
567,1
568,12
569,3
570,3
571,1
572,1
573,3
574,6
575,4
576,7
577,3
578,8
579,4
580,1
581,1
582,3
583,3
584,2
585,1
586,8
587,4
588,1
589,1
590,1
591,6
592,8
593,6
594,6
595,8
596,8
597,2
598,6
599,8
600,4
601,1
602,3
603,2
604,7
605,3
606,4
607,2
608,3
609,7
610,1
611,2
612,1
613,6
614,4
615,3
616,1
617,1
618,7
619,1
620,1
621,2
622,4
623,3
624,1
625,3
626,6
627,3
628,1
629,1
630,6
631,1
632,4
633,8
634,3
635,4
636,1
637,1
638,7
639,2
640,8
641,3
642,3
643,8
644,4
645,3
646,1
647,7
648,3
649,4
650,4
651,8
652,1
653,2
654,1
655,3
656,1
657,4
658,1
659,3
660,6
661,1
662,6
663,3
664,2
665,8
666,3
667,6
668,1
669,2
670,1
671,4
672,8
673,4
674,3
675,7
676,2
677,3
678,3
679,6
680,6
681,7
682,1
683,6
684,4
685,3
686,7
687,6
688,13
689,1
690,1
691,5
692,7
693,1
694,8
695,2
696,3
697,1
698,13
699,1
700,14
701,6
702,3
703,1
704,6
705,3
706,1
707,9
708,2
709,3
710,3
711,7
712,11
713,7
714,10
715,6
716,1
717,6
718,3
719,1
720,1
721,1
722,3
723,2
724,9
725,3
726,6
727,6
728,8
729,4
730,3
731,1
732,6
733,6
734,1
735,1
736,1
737,3
738,1
739,7
740,8
741,8
742,1
743,6
744,8
745,1
746,3
747,1
748,4
749,3
750,6
751,3
752,6
753,4
754,6
755,7
756,8
757,4
758,8
759,4
760,6
761,8
762,2
763,2
764,1
765,1
766,4
767,2
768,3
769,1
770,4
771,8
772,1
773,1
774,3
775,2
776,3
777,3
778,1
779,4
780,6
781,7
782,3
783,8
784,3
785,1
786,6
787,1
788,1
789,6
790,1
791,2
792,1
793,1
794,6
795,2
796,8
797,7
798,7
799,8
800,6
801,6
802,2
803,6
804,1
805,6
806,6
807,3
808,6
809,4
810,4
811,2
812,1
813,1
814,6
815,4
816,6
817,6
818,1
819,6
820,4
821,3
822,8
823,2
824,1
825,1
826,6
827,2
828,8
829,10
830,6
831,4
832,3
833,2
834,1
835,6
836,6
837,6
838,1
839,3
840,3
841,1
842,6
843,8
844,9
845,1
846,6
847,3
848,6
849,4
850,3
851,7
852,3
853,3
854,3
855,6
856,3
857,1
858,4
859,1
860,1
861,3
862,1
863,1
864,1
865,3
866,1
867,1
868,1
869,6
870,6
871,6
872,1
873,7
874,1
875,8
876,9
877,4
878,1
879,6
880,1
881,1
882,4
883,1
884,7
885,2
886,1
887,3
888,3
889,3
890,1
891,8
892,8
893,3
894,1
895,2
896,3
897,4
898,3
899,10
900,3
901,3
902,8
903,1
904,1
905,1
906,8
907,6
908,3
909,3
910,4
911,1
912,7
913,1
914,3
915,4
916,1
917,1
918,3
919,7
920,8
921,2
922,2
923,4
924,3
925,1
926,2
927,3
928,3
929,1
930,3
931,3
932,9
933,1
934,1
935,6
936,1
937,6
938,2
939,2
940,4
941,1
942,1
943,1
944,3
945,6
946,1
947,7
948,9
949,4
950,1
951,3
952,4
953,6
954,2
955,1
956,8
957,7
958,2
959,10
960,2
961,10
962,1
963,3
964,7
965,1
966,7
967,6
968,3
969,6
970,6
971,8
972,6
973,6
974,2
975,6
976,8
977,6
978,6
979,3
980,2
981,1
982,3
983,3
984,7
985,3
986,8
987,4
988,1
989,6
990,1
991,7
992,8
993,1
994,6
995,6
996,1
997,1
998,1
999,2
1000,2
