43,Léon,1994,A,110,8.50,1035236,19501238
44,The Lion King,1994,U,88,8.50,942045,422783777
45,Ter ator 2: Judgment Day,1991,U,137,8.50,995506,204843350
46,Nuovo Cinema Paradiso,1988,U,155,8.50,230763,11990401
47,Hotaru no haka,1988,U,89,8.50,235231,
48,Back to the Future,1985,U,116,8.50,1058081,210609762
49,Once Upon a Time in the West,1968,U,165,8.50,302844,5321508
50,Psycho,1960,A,109,8.50,604211,32000000
51,Casablanca,1942,U,102,8.50,522093,1024560
52,Modern Times,1936,G,87,8.50,217881,163245
53,City Lights,1931,G,87,8.50,167839,19181
54,Capharnaüm,2018,A,126,8.40,62635,1661096
55,Ayla: The Daughter of War,2017,,125,8.40,34112,
56,Vikram Vedha,2017,UA,147,8.40,28401,
57,Kimi no na wa.,2016,U,106,8.40,194838,5017246
58,Dangal,2016,U,161,8.40,156479,12391761
59,Spider-Man: Into the Spider-Verse,2018,U,117,8.40,375110,190241310
60,Avengers: Endgame,2019,UA,181,8.40,809955,858373000
61,Avengers: Infinity War,2018,UA,149,8.40,834477,678815482
62,Coco,2017,U,105,8.40,384171,209726015
63,Django Unchained,2012,A,165,8.40,1357682,162805434
64,The Dark Knight Rises,2012,UA,164,8.40,1516346,448139099
65,3 Idiots,2009,UA,170,8.40,344445,6532908
66,Taare Zameen Par,2007,U,165,8.40,168895,1223869
67,WALL·E,2008,U,98,8.40,999790,223808164
68,The Lives of Others,2006,A,137,8.40,358685,11286112
69,Oldeuboi,2003,A,101,8.40,515451,707481
70,Memento,2000,UA,113,8.40,1125712,25544867
71,Mononoke-hime,1997,U,134,8.40,343171,2375308
72,Once Upon a Time in America,1984,A,229,8.40,311365,5321508
73,Raiders of the Lost Ark,1981,A,115,8.40,884112,248159971
74,The Shining,1980,A,146,8.40,898237,44017374
75,Apocalypse Now,1979,R,147,8.40,606398,83471511
76,Alien,1979,R,117,8.40,787806,78900000
77,Anand,1971,U,122,8.40,30273,
78,Tengoku to jigoku,1963,,143,8.40,34357,
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95,8.40,450474,275902
80,Witness for the Prosecution,1957,U,116,8.40,108862,8175000
81,Paths of Glory,1957,A,88,8.40,178092,
82,Rear Window,1954,U,112,8.40,444074,36764313
83,Sunset Blvd.,1950,Passed,110,8.40,201632,
84,The Great Dictator,1940,Passed,125,8.40,203150,288475
85,Nineteen Seventeen,2019,R,119,8.30,425844,159227644
86,Tumbbad,2018,A,104,8.30,27793,
87,Andhadhun,2018,UA,139,8.30,71875,1373943
88,Drishyam,2013,U,160,8.30,30722,
89,Jagten,2012,R,115,8.30,281623,687185
90,Jodaeiye Nader az Si ,2011,PG-13,123,8.30,220002,7098492
91,Incendies,2010,R,131,8.30,150023,6857096
92,Miracle in cell NO.7,2019,TV-14,132,8.30,33935,
93,Babam ve Oglum,2005,,112,8.30,78925,
94,Inglourious Basterds,2009,A,153,8.30,1267869,120540719
95,Eternal Sunshine of the Spotless Mind,2004,UA,108,8.30,911664,34400301
96,Amélie,2001,U,122,8.30,703810,33225499
97,Snatch,2000,UA,104,8.30,782001,30328156
98,Requiem for a Dream,2000,A,102,8.30,766870,3635482
99,American Beauty,1999,UA,122,8.30,1069738,130096601
100,Good Will Hunting,1997,U,126,8.30,861606,138433435
101,Bacheha-Ye aseman,1997,PG,89,8.30,65341,933933
102,Toy Story,1995,U,81,8.30,887429,191796233
103,Braveheart,1995,A,178,8.30,959181,75600000
104,Reservoir Dogs,1992,R,99,8.30,918562,2832029
105,Full Metal Jacket,1987,UA,116,8.30,675146,46357676
106,Idi i smotri,1985,A,142,8.30,59056,
107,Aliens,1986,U,137,8.30,652719,85160248
108,Amadeus,1984,R,160,8.30,369007,51973029
109,Scarface,1983,A,170,8.30,740911,45598982
110,Star Wars: Episode VI - Return of the Jedi,1983,U,131,8.30,950470,309125409
111,Das Boot,1981,R,149,8.30,231855,11487676
112,Taxi Driver,1976,A,114,8.30,724636,28262574
113,The Sting,1973,U,129,8.30,241513,159600000
114,A Clockwork Orange,1971,A,136,8.30,757904,6207725
115,2001: A Space Odyssey,1968,U,149,8.30,603517,56954992
116,Per qualche dollaro in più,1965,U,132,8.30,232772,15000000
117,Lawrence of Arabia,1962,U,228,8.30,268085,44824144
118,The Apartment,1960,U,125,8.30,164363,18600000
119,North by Northwest,1959,U,136,8.30,299198,13275000
120,Vertigo,1958,A,128,8.30,364368,3200000
121,Singin'' in the Rain,1952,G,103,8.30,218957,8819028
122,Ikiru,1952,,143,8.30,68463,55240
123,Ladri di biciclette,1948,,89,8.30,146427,332930
124,Double Indemnity,1944,Passed,107,8.30,143525,5720000
125,Citizen Kane,1941,UA,119,8.30,403351,1585634
126,M - Eine Stadt sucht einen Mörder,1931,Passed,117,8.30,143434,28877
127,Metropolis,1927,,153,8.30,159992,1236166
128,The Kid,1921,Passed,68,8.30,113314,5450000
129,Chhichhore,2019,UA,143,8.20,33893,898575
130,Uri: The Surgical Strike,2018,UA,138,8.20,43444,4186168
131,K.G.F: Chapter 1,2018,UA,156,8.20,36680,
132,Green Book,2018,UA,130,8.20,377884,85080171
133,"Three Billboards Outside Ebbing, Missouri",2017,A,115,8.20,432610,54513740
134,Talvar,2015,UA,132,8.20,31142,342370
135,Baahubali 2: The Conclusion,2017,UA,167,8.20,75348,20186659
136,Klaus,2019,PG,96,8.20,104761,
137,Drishyam,2015,UA,163,8.20,70367,739478
138,Queen,2013,UA,146,8.20,60701,1429534
139,Mandariinid,2013,,87,8.20,40382,144501
140,Bhaag Milkha Bhaag,2013,U,186,8.20,61137,1626289
141,Gangs of Wasseypur,2012,A,321,8.20,82365,
142,Udaan,2010,UA,134,8.20,42341,7461
143,Paan Singh Tomar,2012,UA,135,8.20,33237,39567
144,El secreto de sus ojos,2009,R,129,8.20,193217,6391436
145,Warrior,2011,UA,140,8.20,435950,13657115
146,Shutter Island,2010,A,138,8.20,1129894,128012934
147,Up,2009,U,96,8.20,935507,293004164
148,The Wolf of Wall Street,2013,A,180,8.20,1187498,116900694
149,Chak De! India,2007,U,153,8.20,74129,1113541
150,There Will Be Blood,2007,A,158,8.20,517359,40222514
151,Pan''s Labyrinth,2006,UA,118,8.20,618623,37634615
152,Toy Story 3,2010,U,103,8.20,757032,415004880
153,V for Vendetta,2005,A,132,8.20,1032749,70511035
